ctr,tokens,tokens_price,name
145,183,2.3789999999999998e-05,C:\Root\nimue\data\email\ingest-processed\454e61ba7913e42cb58de8839f78defa.txt
146,405,5.265e-05,C:\Root\nimue\data\email\ingest-processed\457cba726925c0678175e30ed152411f.txt
147,170,2.2100000000000002e-05,C:\Root\nimue\data\email\ingest-processed\4596d3e926a511dae81919ebbee98798.txt
148,295,3.8350000000000004e-05,C:\Root\nimue\data\email\ingest-processed\46d3982b7447e1a7b27b9ffddce92102.txt
149,915,0.00011895,C:\Root\nimue\data\email\ingest-processed\47a00f3b87dd8da106b289b878b09ab1.txt
150,312,4.0560000000000005e-05,C:\Root\nimue\data\email\ingest-processed\480172563b8f40bfb96bc3d1ecc2f3f4.txt
151,68,8.84e-06,C:\Root\nimue\data\email\ingest-processed\485ebdc70ce5fec276df2db737dff1e4.txt
152,675,8.775e-05,C:\Root\nimue\data\email\ingest-processed\49f5ebdedbca7865633ecf68d9e43e59.txt
153,504,6.552e-05,C:\Root\nimue\data\email\ingest-processed\4af8f13a56b3378530dfeaf97dae40f8.txt
154,168,2.184e-05,C:\Root\nimue\data\email\ingest-processed\4b99966e3f9b981b5388946d112bc497.txt
155,218,2.834e-05,C:\Root\nimue\data\email\ingest-processed\4be1887963f95d04ea188cfbc8551a2e.txt
156,621,8.073000000000001e-05,C:\Root\nimue\data\email\ingest-processed\4bece748266481570f48475edf1c8cc5.txt
157,212,2.7560000000000004e-05,C:\Root\nimue\data\email\ingest-processed\4c176db0fb27fe807b4f9062654979c2.txt
158,614,7.982e-05,C:\Root\nimue\data\email\ingest-processed\4c33db9402d7e600a8173c9e4015118b.txt
159,1355,0.00017615,C:\Root\nimue\data\email\ingest-processed\4c439eb3b3e5f7cd6b631d44790dc133.txt
160,85,1.1050000000000001e-05,C:\Root\nimue\data\email\ingest-processed\4ebb793e869235c5038047c45f78cf1a.txt
161,116,1.508e-05,C:\Root\nimue\data\email\ingest-processed\4ed5a7c63dbf4dc73e50a8719b5ed046.txt
162,896,0.00011648000000000001,C:\Root\nimue\data\email\ingest-processed\4edac2753bed23552beda4bfa19d2147.txt
163,294,3.8219999999999997e-05,C:\Root\nimue\data\email\ingest-processed\4ff8e473094af2ed1a3ba0117968ac23.txt
164,198,2.574e-05,C:\Root\nimue\data\email\ingest-processed\5002f4c7159dbb56ccc579ac30325121.txt
165,373,4.8490000000000005e-05,C:\Root\nimue\data\email\ingest-processed\50258b6aebf00166961499a55be649c6.txt
166,288,3.744e-05,C:\Root\nimue\data\email\ingest-processed\50b968952e6f268585c178cd4e19b891.txt
167,121,1.573e-05,C:\Root\nimue\data\email\ingest-processed\51164db41f1d0b645febc8cfca9580d5.txt
168,210,2.73e-05,C:\Root\nimue\data\email\ingest-processed\513a195dfba2a9ee9769992210da1631.txt
169,184,2.392e-05,C:\Root\nimue\data\email\ingest-processed\51559ff1dbeb154065f4b46a112820dc.txt
170,100,1.3e-05,C:\Root\nimue\data\email\ingest-processed\516786a687c602051aea6ba1ebdd797f.txt
171,632,8.216e-05,C:\Root\nimue\data\email\ingest-processed\5329a04d848ce361e2b8ef3ec6a2680a.txt
172,614,7.982e-05,C:\Root\nimue\data\email\ingest-processed\538d596c167e8559fb4edd97f913b995.txt
173,820,0.0001066,C:\Root\nimue\data\email\ingest-processed\53b6eba6c6751610846c0f7b9da8bee2.txt
174,371,4.8230000000000004e-05,C:\Root\nimue\data\email\ingest-processed\53d5af38f78a91c07316d40244a1c3aa.txt
175,248,3.224e-05,C:\Root\nimue\data\email\ingest-processed\53fb0c988e056c31e128ed083f3c084f.txt
176,433,5.629e-05,C:\Root\nimue\data\email\ingest-processed\5410b34fd8b3f0fadb8e4c77ae95b467.txt
177,1764,0.00022932000000000003,C:\Root\nimue\data\email\ingest-processed\5500faf9dd14a2b50e4f220323a35085.txt
178,361,4.693e-05,C:\Root\nimue\data\email\ingest-processed\556b83f57c49bc07284a44740002df41.txt
179,415,5.3950000000000004e-05,C:\Root\nimue\data\email\ingest-processed\55aea29b952f557fa81f9427a24e82a2.txt
180,426,5.538e-05,C:\Root\nimue\data\email\ingest-processed\55b64209c2ec5b5917bbf439e66dfca9.txt
181,140,1.82e-05,C:\Root\nimue\data\email\ingest-processed\55c8db70cde64e1ed18763c570f0228c.txt
182,203,2.639e-05,C:\Root\nimue\data\email\ingest-processed\55e549bce99fec23154b309806058369.txt
183,799,0.00010387,C:\Root\nimue\data\email\ingest-processed\55e6953cb284aa6fd7c7a7afd29799f0.txt
184,3947,0.00051311,C:\Root\nimue\data\email\ingest-processed\55ea6d1dad4cf94e88edf298c4cc0ad7.txt
185,312,4.0560000000000005e-05,C:\Root\nimue\data\email\ingest-processed\560863d4e17f3dadaa67e067057766a3.txt
186,1761,0.00022893000000000002,C:\Root\nimue\data\email\ingest-processed\575fec66533fa4fcec4a5bf89a7555ea.txt
187,221,2.873e-05,C:\Root\nimue\data\email\ingest-processed\576f47a988a330c62c53a1a989f8f116.txt
188,635,8.255e-05,C:\Root\nimue\data\email\ingest-processed\5786ac0368cea19a84f3567a042e55bc.txt
189,363,4.719000000000001e-05,C:\Root\nimue\data\email\ingest-processed\585a74dabe60ee989cb2c59bd73ae1ca.txt
190,265,3.4450000000000004e-05,C:\Root\nimue\data\email\ingest-processed\5867ca72abe55f8e8adcb11dd18fe16e.txt
191,1188,0.00015444,C:\Root\nimue\data\email\ingest-processed\5adb519b53460740a248d386df7c5370.txt
192,200,2.6e-05,C:\Root\nimue\data\email\ingest-processed\5addd665a978908dd60b9ca2120257d5.txt
193,1797,0.00023361,C:\Root\nimue\data\email\ingest-processed\5ba986d6a87d9b2299f18ee80398488b.txt
194,1352,0.00017576,C:\Root\nimue\data\email\ingest-processed\5bc98b05d11976534a69982d3d4d7b51.txt
195,323,4.199e-05,C:\Root\nimue\data\email\ingest-processed\5c108f8eafba2704dc59af6a35e73dff.txt
196,311,4.043e-05,C:\Root\nimue\data\email\ingest-processed\5c598b301b18ee898490127a0a53913d.txt
197,495,6.435e-05,C:\Root\nimue\data\email\ingest-processed\5cf54d3c8de831d07939e2f71386f30d.txt
198,325,4.225e-05,C:\Root\nimue\data\email\ingest-processed\5dada0fbe7737c5a0216100744ccd385.txt
199,363,4.719000000000001e-05,C:\Root\nimue\data\email\ingest-processed\5dafbce093f1ba7c8cc6536ba4712149.txt
200,518,6.734e-05,C:\Root\nimue\data\email\ingest-processed\5dcf123e86f690d9200e5fb33da5fafd.txt
201,251,3.2630000000000004e-05,C:\Root\nimue\data\email\ingest-processed\5dfe4c13eeacd5f5b28c1fedbcdc7c31.txt
202,212,2.7560000000000004e-05,C:\Root\nimue\data\email\ingest-processed\5e4c179939f27ae8af27b9804af2809e.txt
203,70,9.1e-06,C:\Root\nimue\data\email\ingest-processed\5e763a0d7eedc111381918f94970a0ad.txt
204,115,1.4950000000000001e-05,C:\Root\nimue\data\email\ingest-processed\5f010fb6c33fc48e4f628b13d9733fac.txt
205,108,1.4040000000000001e-05,C:\Root\nimue\data\email\ingest-processed\5f0c3a113377444a27ad1a85b55a6276.txt
206,485,6.305e-05,C:\Root\nimue\data\email\ingest-processed\5f44a6e033379ed33b881d1bb0ba7601.txt
